사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10056,8.8,9.5,8.5,8.3,8.0,8.8,9.3,8.8,8.8,9.1
10064,8.5,7.8,7.0,9.3,9.8,7.0,7.5,9.3,9.5,8.5
10074,9.5,9.8,9.0,9.0,9.0,9.5,9.0,9.0,9.0,9.0
10075,9.3,9.3,9.5,9.0,8.3,9.5,9.5,9.3,8.8,9.0
10077,8.8,8.8,8.9,8.5,9.0,8.8,9.0,8.5,8.3,8.8
10081,9.3,9.3,8.3,8.3,8.3,9.3,9.3,8.5,8.3,8.5
10082,7.0,7.0,7.0,7.0,6.0,7.0,7.0,9.0,9.0,7.0
10091,8.0,8.0,8.5,8.0,8.0,9.0,9.0,8.5,8.0,9.0
10093,9.0,8.3,9.3,7.5,8.0,8.5,9.3,8.8,8.5,9.3
10111,8.5,8.8,9.3,8.8,8.5,8.5,9.3,9.0,9.3,9.0
10130,8.0,8.0,8.0,7.5,7.5,8.5,8.5,8.5,8.0,8.5
10138,7.5,8.0,7.5,7.0,7.0,7.5,7.8,7.5,7.0,8.0
10142,9.8,9.3,9.3,8.5,8.3,9.3,9.8,9.3,9.3,9.0
10149,8.5,8.5,9.5,9.0,9.0,9.5,9.5,9.0,9.0,9.5
10151,6.5,7.5,9.5,8.0,8.5,8.0,7.5,7.5,7.5,9.5
10152,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0
10164,8.0,7.5,9.0,7.5,8.0,9.0,7.0,6.0,7.0,9.0
10169,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0
10175,8.3,8.8,8.5,8.0,7.0,8.3,8.3,9.0,8.8,8.0
10179,7.5,8.5,8.8,7.5,7.5,7.5,7.5,8.5,9.3,8.9
10182,8.3,8.5,8.8,8.3,8.8,9.0,9.5,9.3,8.5,8.5
10187,9.5,9.3,9.3,9.0,9.3,9.3,9.3,9.8,9.3,9.3
10189,9.0,8.5,8.0,8.0,8.0,8.5,9.0,8.5,8.5,8.0
10194,8.8,8.5,8.3,8.0,8.0,8.3,8.8,8.5,8.5,8.0
10197,8.0,8.0,7.0,7.0,8.5,8.5,8.5,9.0,9.0,8.5
10198,8.0,8.0,7.0,6.5,6.5,7.5,7.5,8.0,8.0,8.0
10203,9.0,8.0,8.3,8.0,8.5,8.0,8.8,8.0,8.0,8.0
10204,8.5,9.0,8.3,8.3,8.3,8.8,9.0,8.5,8.3,8.3
10206,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,7.0
10208,9.0,8.5,9.0,8.5,9.4,9.3,9.3,9.0,9.1,9.0
10209,8.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0
10216,8.0,8.0,7.0,8.2,9.0,8.0,9.0,9.0,9.0,8.0
10232,8.0,7.5,7.8,7.3,6.8,8.0,8.3,8.0,8.0,7.0
10233,7.8,7.8,8.0,7.0,7.3,7.5,8.1,8.0,7.5,8.7
10234,8.3,8.7,8.5,8.0,9.2,8.1,8.8,7.8,7.8,8.0
10236,8.0,7.0,8.0,7.0,7.5,7.5,7.5,7.0,7.5,7.5
10252,10.0,9.5,9.9,9.6,9.5,9.9,10.0,9.9,9.9,9.7
10255,9.4,9.3,8.8,8.2,9.5,8.0,9.9,9.5,9.5,8.3
10258,9.3,9.3,9.0,9.3,9.0,9.0,9.5,8.8,9.3,9.3
10259,8.3,8.0,8.3,7.8,8.5,8.0,9.0,8.6,8.5,8.3
10260,7.8,7.8,8.5,7.5,8.0,8.3,8.8,7.8,8.0,7.5
10266,9.3,8.3,9.9,8.5,9.0,8.8,9.0,8.8,8.5,8.5
10268,8.5,8.0,9.5,9.0,8.5,8.0,9.0,8.5,8.5,8.0
10269,9.0,8.7,9.2,8.8,8.7,9.1,9.3,9.0,9.1,9.0
10274,9.0,8.8,9.3,9.0,9.0,9.0,9.0,8.8,8.3,9.0
10275,9.5,9.0,8.5,9.5,9.5,9.3,9.5,9.5,9.0,9.0
10278,8.0,8.0,8.0,7.5,9.5,8.0,8.0,8.5,8.5,7.5
10280,9.0,8.3,9.2,8.5,9.2,8.5,8.9,8.5,8.6,8.9
10282,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0
10285,8.0,8.5,8.8,8.3,8.5,8.3,9.5,9.0,8.3,9.3
10286,8.1,8.1,7.1,7.4,7.7,7.9,5.5,7.9,7.6,7.6
10290,7.8,7.5,7.3,7.0,7.3,7.3,8.3,8.0,7.5,7.0
10291,9.5,9.0,8.0,8.0,8.5,8.5,9.0,9.5,9.3,8.0
10292,9.8,9.8,9.3,9.5,9.6,9.8,9.8,9.8,9.9,9.6
10294,8.8,9.0,8.0,8.0,8.8,8.0,9.5,9.3,9.3,8.0
10296,9.8,9.3,9.4,9.1,9.5,9.3,9.6,9.6,9.2,9.3
10297,9.0,9.0,8.0,8.0,8.0,8.0,9.5,9.0,9.0,8.0
10298,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0
10299,9.5,9.3,9.0,8.9,8.3,8.8,9.7,9.1,8.6,8.8
10302,9.3,9.3,9.0,9.3,8.5,8.5,9.0,8.8,9.5,9.0
10308,9.3,9.0,9.0,9.0,9.4,9.3,9.3,9.3,9.3,9.0
10316,8.0,8.0,6.4,6.4,6.4,6.4,8.0,9.0,9.0,8.0
10318,9.5,9.5,10.0,9.0,8.0,9.0,9.5,9.0,9.0,9.5
10321,6.8,8.0,8.0,6.8,7.3,7.3,7.5,7.3,7.3,7.3
10322,9.0,9.0,9.5,9.5,9.5,9.0,9.0,9.0,9.0,9.0
10328,9.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0
10329,9.0,9.0,9.5,8.4,9.0,9.0,9.3,8.0,8.5,9.0
10330,8.8,8.5,8.5,8.3,7.5,8.0,8.9,8.8,8.0,7.8
10331,9.0,8.0,8.3,7.5,7.5,9.0,9.4,9.0,9.1,8.5
10332,7.5,6.8,7.3,7.0,6.3,6.8,8.0,7.5,7.3,6.5
10335,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0
10336,8.8,8.3,8.3,7.9,8.8,8.3,9.0,9.0,8.5,7.8
10338,8.3,8.5,8.8,9.0,9.0,8.0,7.8,8.3,8.3,8.5
10339,8.0,9.0,9.0,8.0,8.0,7.0,8.0,10.0,10.0,8.0
10340,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0
10341,9.9,9.8,9.8,9.5,9.3,9.8,9.9,9.9,9.8,9.8
10342,9.8,9.0,9.0,8.5,8.5,9.0,9.5,9.5,9.8,8.5
10343,8.3,8.3,7.8,7.3,8.0,7.8,9.0,9.3,9.0,8.3
10344,7.5,7.5,8.0,7.0,7.5,8.0,8.0,7.5,7.5,8.5
10345,8.0,7.0,9.0,9.0,9.0,9.5,7.0,7.0,7.0,9.0
10350,8.5,8.0,8.3,7.5,8.0,8.3,9.0,8.3,7.5,7.5
10351,9.0,9.0,8.5,8.5,8.5,9.0,9.5,8.0,8.0,8.0
10353,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
10356,9.3,9.0,8.8,8.3,9.5,9.0,9.0,8.8,8.3,8.8
10358,7.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0
10359,9.5,8.0,9.5,6.8,8.0,9.0,9.0,9.0,8.0,9.5
10361,8.5,8.5,8.2,8.0,8.0,8.5,9.0,8.0,8.8,8.0
10364,9.0,8.5,8.0,8.0,8.5,8.0,9.5,8.5,8.5,8.0
10366,9.0,8.5,8.0,9.0,9.5,8.6,9.6,9.5,9.6,9.0
10367,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0
10368,8.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
10369,8.5,8.5,8.8,8.0,8.5,8.5,9.3,8.8,8.5,8.5
10371,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0
10372,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0
20025,9.5,9.0,9.5,8.0,8.5,9.0,9.5,9.5,9.0,9.0