11002201600,2016년 신한 스마트 전담반,3129.1,17|10182:263.0,10292:249.0,10252:247.0,10093:241.0,10382:240.0,10321:227.0,10266:220.5,10341:220.0,10359:204.0,10386:202.6,10179:194.0,10258:193.0,10421:169.0,10285:102.0,10378:100.0,10290:45.0,10461:12.0
11003201500,2015년 InsideBank 유지보수,3107.5,19|10269:264.0,10233:262.5,10280:261.5,10138:261.5,10259:258.5,10336:258.0,10330:253.0,10344:243.0,10329:241.0,10308:211.0,10152:192.0,10298:175.0,10075:75.0,10216:65.5,10363:38.0,10372:25.0,10151:11.0,10381:7.0,10081:5.0
17001201700,2017년 신한은행 스마트 전담반 개발 및 유지보수,3045.3999999999983,18|10258:293.0,10421:249.0,10321:237.0,10266:210.0,10179:203.0,10252:203.0,10382:198.0,10093:194.0,10182:193.0,10461:192.0,10386:190.0,10292:190.0,10341:179.0,10378:110.0,10359:91.0,10498:63.3,10493:41.0,10507:9.1
17002201700,2017년 InsideBank 유지보수,2938.0,18|10081:241.0,10280:227.5,10433:224.5,10430:223.0,10458:221.0,10426:217.0,10269:217.0,10460:213.5,10233:211.5,10075:207.5,10381:187.0,10429:178.5,10496:136.0,10259:97.0,10330:93.0,10475:21.0,10451:16.0,10372:6.0
11002201500,2015년 신한 스마트 전담반,2769.3,15|10258:278.0,10093:267.0,10321:262.0,10266:257.5,10341:257.0,10292:256.0,10182:254.0,10285:222.0,10179:219.0,10290:179.0,10359:172.0,10206:66.0,10318:58.0,10208:20.8,10386:1.0
11003201600,2016년 InsideBank 유지보수,2544.6000000000004,24|10330:221.0,10233:220.0,10269:215.0,10081:213.0,10280:212.5,10259:212.0,10372:212.0,10381:207.0,10426:124.3,10430:124.0,10433:98.5,10075:90.5,10329:89.0,10308:81.0,10316:80.9,10377:47.4,10404:35.2,10336:27.0,10138:12.0,10460:12.0,10216:8.0,10332:1.0,10385:0.8,10384:0.5
11001301600,2016년 스크래핑서비스 ASP,2263.43,14|10194:277.03,10111:276.2,10332:270.0,10385:254.60000000000002,10416:216.0,10082:212.49999999999997,10358:204.1,10419:183.0,10175:110.79999999999998,10351:83.0,10356:73.4,10384:52.0,10395:42.2,10187:8.600000000000001
13030501300,프리마켓(오퍼북),2070.000000000002,12|10340:568.6,10335:460.2,10408:303.5,10413:219.9000000000001,10354:192.2,10282:154.0,10418:107.5,10360:56.0,10274:3.6999999999999997,10175:3.400000000000001,10441:0.5,10208:0.5
12999901200,휴가,1982.23,121|10064:59.2,10259:57.5,10266:51.0,10056:50.5,10075:50.0,10286:49.0,10208:48.0,10336:47.0,10299:46.0,10352:44.5,10233:44.0,10292:44.0,10187:42.5,10280:40.5,10232:40.0,10093:39.0,10329:34.0,10194:33.03,10236:32.0,10291:29.5,10332:29.5,10175:29.299999999999997,10274:29.0,10130:29.0,10111:28.0,10330:28.0,10234:25.5,10385:25.0,10082:24.5,10364:24.0,10379:24.0,10343:23.0,10081:23.0,10294:22.0,10369:21.5,10331:21.0,10151:20.2,10152:18.0,10382:18.0,10371:18.0,10308:18.0,10297:17.5,10142:17.0,10204:17.0,10387:17.0,10182:17.0,10074:17.0,10444:16.0,10377:15.0,10275:15.0,10198:15.0,10454:14.0,10344:14.0,10296:14.0,10321:13.0,10383:13.0,10378:12.9,10138:12.5,10316:12.0,10443:12.0,10433:11.0,10091:10.0,10149:10.0,10269:10.0,10278:10.0,10179:10.0,10451:10.0,10445:9.0,10298:9.0,10302:9.0,10419:9.0,10341:9.0,10405:9.0,10384:8.0,10421:8.0,10430:8.0,10339:8.0,10447:8.0,10169:8.0,10423:8.0,10395:8.0,10258:8.0,10413:7.5,10268:7.0,10418:7.0,10335:7.0,10460:6.0,10426:6.0,10417:6.0,10388:6.0,10203:5.0,10452:5.0,10216:5.0,10389:5.0,10416:5.0,10077:4.0,10494:3.5,10408:3.5,10322:3.0,10476:3.0,10407:3.0,10482:2.0,10448:2.0,10356:2.0,10491:2.0,10358:2.0,10499:2.0,10303:2.0,10436:2.0,10353:1.0,10359:1.0,10361:1.0,10282:1.0,10351:1.0,10338:1.0,10498:1.0,10477:1.0,10326:1.0,10313:1.0,10435:1.0,10429:0.1
14999901446,사업본부지원업무,1456.8999999999994,34|10274:159.6,10064:156.0,10353:129.9,10302:124.0,10278:110.80000000000001,10260:76.0,10255:73.0,10351:73.0,10364:58.0,10216:54.8,10208:51.8,10236:48.0,10356:45.0,10286:44.5,10299:36.0,10243:35.0,10318:33.0,10234:28.700000000000003,10342:21.0,10291:16.0,10333:14.0,10232:14.0,10290:12.0,10206:8.7,10175:6.700000000000001,10368:6.0,10142:4.1,10296:4.0,10189:4.0,10294:3.0,10081:2.9000000000000004,10075:2.0,10314:1.0,10404:0.4
11001201500,2015년 스크래핑서비스 ASP,1383.1999999999998,13|10111:243.60000000000002,10297:225.5,10332:202.0,10194:170.29999999999993,10358:152.0,10082:102.39999999999999,10356:93.40000000000002,10187:89.7,10175:45.50000000000002,10385:37.0,10313:12.5,10351:9.0,10151:0.3
14999901402,경영관리부업무,1126.9,11|10331:255.0,10343:245.0,10056:233.5,10268:143.0,10198:142.0,10369:82.0,10389:20.0,10275:2.0,10194:2.0,10208:1.9000000000000001,20103:0.5
16888901621,경영혁신본부지원업무,1017.7999999999998,18|10369:210.0,10389:207.0,10056:199.0,10331:176.0,10482:75.9,10343:53.0,10437:32.099999999999994,10443:18.0,10444:17.0,10450:7.6000000000000005,10453:6.0,10447:5.0,10448:4.5,10446:4.0,10445:1.0,10454:0.9,10436:0.4,10423:0.4
15037101500,모바일뱅킹(S뱅크) 전면 개편 물품 및 개발용역 공급계약,1002.0,15|10299:161.0,10252:136.0,10364:132.0,10255:125.0,10383:86.0,10378:72.0,10286:59.0,10382:53.0,10379:53.0,10318:40.0,10064:24.0,10350:23.0,10387:20.0,10274:13.0,10368:5.0
14032201400,국민연금공단 주거래시스템 유지보수,974.9,6|10164:261.0,10316:251.9,10091:229.0,10130:181.0,20016:48.0,10353:4.0
16097101600,사학연금 통합정보시스템 재구축(2차) 용역,904.9999999999999,10|10442:206.5,10142:173.0,10296:168.0,10175:149.89999999999998,10440:122.4,10260:45.0,10064:28.0,10504:5.0,10423:4.2,10082:3.0
17999901715,Synergy Part  Business Support,904.0,17|10111:115.0,10494:113.5,10385:113.0,10194:109.6,10500:88.0,10082:84.0,10332:76.0,10503:54.0,10175:33.4,10358:33.0,10508:18.0,10506:17.0,10343:16.0,10416:16.0,10423:9.0,10384:8.0,10187:0.5
17057101700,신한은행 Super Platform 구축,844.8,20|10299:97.0,10443:83.0,10407:81.0,10336:78.0,10387:76.0,10330:75.0,10074:61.0,10445:46.0,10187:44.5,10378:42.0,10419:32.0,10452:27.0,10457:27.0,10511:19.0,10451:16.0,10454:15.0,10405:14.3,10498:5.0,10444:5.0,10484:1.0
13900901317,영업업무,807.2,6|10275:275.0,10339:229.0,10361:160.0,10366:122.0,10303:21.0,10234:0.2
15007101500,금융결제원 연동 CMS 개발,799.7000000000002,7|10169:208.0,10384:197.4,10351:192.0,10356:91.69999999999999,10151:71.0,10175:34.20000000000002,10082:5.4
16888901614,연구소지원업무,797.2,8|10187:204.8,10308:189.0,10074:185.0,10291:112.0,10448:80.5,10458:13.0,10435:8.9,10449:4.0
17029101700,(공통)2017년 e-금융 보안강화 및 서비스 고도화,750.0,6|10447:157.0,10379:150.0,10364:150.0,10342:145.0,10403:142.0,10491:6.0
16046101600,신한은행 자산관리자동화시스템 구축 개발용역 공급계약,736.2999999999995,10|10299:134.0,10255:106.0,10336:104.0,10208:85.0,10074:82.5,10387:72.0,10286:59.0,10407:55.79999999999997,10419:26.0,10234:12.0
17023201700,국민연금 주거래시스템 유지보수 도급(4차년도) 계약,694.7,4|10149:237.0,10091:222.0,10164:129.0,10130:106.7
16098201600,2017년 기업은행 스마트뱅킹 상시 운영 전담반,692.9,6|10236:231.0,10456:167.0,10208:102.9,10477:98.0,10492:83.0,10435:11.0
16028201600,국민연금 주거래시스템 유지보수 도급(3차년도) 계약,635.9,4|10164:234.0,10091:216.9,10130:173.0,10149:12.0
15018101500,농협은행 스마트 금융센터 금융상품 마켓 구축(스마트),631.0999999999999,7|10236:203.0,10328:135.1,10282:131.0,10286:91.5,10187:31.5,10260:21.0,10302:18.0
14999901452,연구소지원업무,628.45,10|10151:172.1,10187:138.29999999999998,10322:130.0,10338:116.0,10074:27.300000000000004,10194:20.35,10345:9.0,10290:9.0,10278:6.2,10082:0.2
14008201500,2015년 광주은행 신스마트뱅킹 운영 유지보수,618.6999999999999,7|10291:280.0,10074:274.7,10252:37.0,10345:17.0,10064:7.9,10081:1.1,10208:1.0
15014201500,국민연금 기금운용본부 사무수탁 유지보수,606.0,3|10149:250.0,10352:238.0,10353:118.0
16999901617,경영혁신본부지원업무(구),593.0,9|10056:130.5,10369:126.0,10389:116.0,10343:115.0,10331:104.0,10423:0.5,10082:0.5,10234:0.4,10384:0.1
15010101500,한국연구재단 연구비관리시스템 구축,542.0,4|10189:205.0,10234:168.0,10081:155.0,10260:14.0
16888901605,N본부지원업무,523.3000000000001,14|10484:86.0,10447:75.0,10417:71.0,10452:68.0,10450:55.2,10342:36.0,10371:30.8,10379:25.0,10491:24.0,10436:15.6,10423:12.699999999999996,10236:10.0,10403:9.0,10483:5.0
17004301700,2017년 스크래핑서비스 ASP,511.6,8|10384:108.5,10082:86.0,10111:75.0,10194:67.6,10332:57.0,10385:49.0,10419:38.5,10358:30.0
17999901718,Management Unit  Business Support,487.3,4|10389:130.0,10369:127.5,10482:115.8,10056:114.0
16888901608,S본부지원업무,481.0,15|10364:159.0,10336:88.5,10451:39.0,10299:33.0,10444:32.0,10443:28.0,10423:24.999999999999993,10286:18.0,10445:17.0,10457:14.0,10429:12.0,10419:9.5,10458:3.0,10208:2.0,10371:1.0
17040101700,광주은행 스마트뱅킹 리뉴얼_개발부분 물품공급 및 개발용역,469.4,7|10308:100.5,10291:97.0,10419:89.0,10449:85.9,10383:65.0,10074:27.0,10187:5.0
16069101600,신한은행 개인인터넷뱅킹 전면 재구축,458.2,7|10387:133.0,10440:109.00000000000001,10379:93.0,10372:50.0,10407:31.2,10377:25.0,10204:17.0
16009201600,2016년 국민연금 기금운용 일반사무관리 위탁업무 유지보수 도급 계약,455.0,3|10149:238.0,10352:216.0,10091:1.0
16079101600,소상공인시장진흥공단 전통시장 화재공제 시스템 구축,447.19999999999993,5|10296:129.0,10142:121.0,10449:116.0,10395:44.5,10175:36.7
16095101600,신한은행 외국인 고객 전용 비대면 App 신규 개발,421.0,5|10444:86.0,10445:84.0,10443:84.0,10299:84.0,10457:83.0
15046101500,하나-외환 IT통합 프로젝트(전자금융채널),409.0,3|10204:200.0,10232:167.0,10338:42.0
17028101700,NH모바일오피스 고도화(태블릿브랜치 통합플랫폼)구축,405.3,6|10450:106.0,10208:101.1,10499:94.0,10372:48.0,10175:28.200000000000003,10504:28.0
15015101500,신한은행 스마트펀드센터 앱 전면 재구축,402.0,5|10299:113.0,10252:99.0,10342:94.0,10294:92.0,10333:4.0
16043101600,KB국민은행 국외점포 스마트폰뱅킹서비스 시스템 구축,397.59999999999997,4|10232:110.0,10383:109.0,10291:93.0,10405:85.6
16017101600,2016년 e-금융 보안강화 및 서비스 고도화 구축(스마트금융),382.0,5|10236:107.0,10064:87.0,10364:86.0,10342:51.0,10294:51.0
15035101500,2015년 모바일오피스 고도화(개발),374.6,5|10302:111.0,10208:107.6,10342:98.0,10382:29.0,10379:29.0
16888901602,S1본부지원업무,364.5,7|10438:135.0,10366:130.0,10465:88.0,10445:5.0,10413:2.5,10474:2.0,10339:2.0
17031101700,2017년 올원뱅크 고도화 구축,363.0,3|10417:144.0,10452:113.0,10371:106.0
17039101700,신한은행 대고객 모바일앱 서비스 추가개발,357.4,7|10387:65.0,10336:64.5,10445:64.0,10330:56.9,10299:55.0,10378:45.0,10407:7.0
15052101500,군인공제회 주거래은행 통합자금관리시스템 2.0 구축,350.39999999999975,4|10142:148.9,10296:136.0,10075:34.0,10377:31.499999999999982
17005201700,2017년 국민연금 기금운용 일반사무관리 위탁업무 유지보수,334.5,2|10204:217.0,10352:117.5
16091101600,해피머니홈페이지 개편 제안 작업,326.69999999999993,6|10383:105.0,10232:87.0,10454:57.6,10405:37.1,10372:34.0,10457:6.0
16014101600,신한은행 퇴직연금 비대면채널 업그레이드 개발,320.19999999999993,5|10260:84.0,10286:68.0,10407:66.69999999999996,10387:54.0,10234:47.5
14046101400,신한은행 영업점 퇴직연금마케팅 테블릿 PC APP개발,316.29999999999995,6|10326:110.0,10274:76.7,10208:55.6,10318:52.0,10314:13.0,10286:9.0
16888901619,사업지원지원업무,311.59999999999997,4|10343:144.0,10423:117.60000000000004,10064:49.0,10444:1.0
16999901605,B1본부지원업무,285.7,12|10405:90.9,10379:67.0,10342:42.0,10208:34.0,10371:27.0,10364:16.0,10302:3.0,10426:2.0,10356:2.0,10427:0.9,10439:0.5,10234:0.4
15038101500,InsideBank 업그레이드 개발,284.0,6|10081:95.0,10075:80.0,10381:51.0,10387:33.0,10363:23.0,10151:2.0
16053101600,KBCam Pad System 고도화 구축,277.8000000000002,6|10371:84.0,10379:71.0,10175:58.8,10427:46.1,10405:15.89999999999998,10342:2.0
17008201700,2017년 신한은행 써니뱅크(Sunny Bank) 전담반 개발 및 유지보수,276.0,3|10286:134.0,10259:118.0,10452:24.0
16083101600,신한은행 기업 모바일뱅킹 업그레이드 구축을 위한 개발 용역,263.6,3|10260:113.0,10286:92.0,10451:58.599999999999994
15009101500,양곡자회사 설립 대비 IT운영시스템 구축(자금관리),263.20000000000005,5|10142:83.6,10232:64.0,10296:63.0,10204:52.0,10064:0.6
16888901603,S2본부지원업무,257.4,5|10432:126.0,10476:100.0,10316:29.999999999999996,10419:1.0,10405:0.4
